__BEGIN_CONFIG__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSION,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE,RESOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,EXTERNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOOKUP_COLUMNS,LABEL-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPORT_COLUMNS,ASSET-TAG,RESOURCE-TYPE,METACLASS,CONTAINER,MODEL,SERIAL-NUMBER,DESCRIPTION,CIRCULATING,HOME-LOCATION,LOCATION-NOTE,URL,MANUFACTURER,VALUE,VENDOR,PURCHASE-DATE,CONDITION-NOTE,CONDITION-GRADE,ACCESSORIES,DESCRIPTION,CHECKOUT-CENTER,BARCODE,LAST-INVENTORIED-DATE,REPLACEMENT-DATE,WARRANTY-LABOR,WARRANTY-PARTS,SHELF-LOCATION,,,,,,,,,
NONIMPORT_COLUMNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__BEGIN_DATA__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSET-TAG,LABEL-ID,RESOURCE-TYPE,METACLASS,CONTAINER,,MODEL,SERIAL-NUMBER,DESCRIPTION,CIRCULATING,,,HOME-LOCATION,LOCATION-NOTE,URL,MANUFACTURER,,VALUE,VENDOR,PURCHASE-DATE,CONDITION-NOTE,CONDITION-GRADE,ACCESSORIES,,,,DESCRIPTION,,,CHECKOUT-CENTER,BARCODE,LAST-INVENTORIED-DATE,REPLACEMENT-DATE,WARRANTY-LABOR,WARRANTY-PARTS,SHELF-LOCATION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,label-id,resource-type,metaclass,Kit,Photo (link to Google Drive file),Model Number,Serial Number,AC input,FCC ID:,DC Input,PSU Number,Notes,Manual Uploaded,Manual Source Google Drive URL,Manual Source Original URL,Manual Source Original URL,Resale Value,Resale Source URL,Resale Info: Date Recorded,Last-reported Condition(?),Equipment Status,Peripheral Status,Service Record,GEAR name,GEAR description,BOLDC description,BOLDC Instructions,BOLDC Demo Videos,checkout-center,,,,,,
Arri M18,boldc#ArriM18,lighting,EQUIPMENT,,,,,,,,,,,https://drive.google.com/file/d/1is7b-31zUfsob8liGjqEo-pbGg-4z9WK/view?usp=sharing,https://www.arri.com/en/lighting/daylight/m-series/m18#F0.0000M18,,5679.667,https://www.bhphotovideo.com/c/product/664968   https://www.sharegrid.com/products/77-arri-m18-1800w-hmi-system/buy   https://www.ebay.com/c/22006569623,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
Arri L7-C,boldc#ArriL7-C,lighting,EQUIPMENT,,,,,,,,,,,https://drive.google.com/file/d/1GygGQmVNNZW8cVJI2bdxLJOIH5fJdedN/view?usp=sharing,https://www.arri.com/en/lighting/led/l-series-c/l7-c,,2973.293,https://www.bhphotovideo.com/c/product/1489889-REG/arri_l1_0014430_l7_c_le2_led_fresnel.html   https://www.csirentals.com/arri-l7-c-led-fresnel-color/   https://www.ebay.com/itm/Arri-L7-C-Light-Excellent-Condition-Low-hrs-/274462667847,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
Avenger D600 Boom Stand,boldc#AvengerD600BoomStand,audio,EQUIPMENT,,,,,,,,BDSB31337,,,https://drive.google.com/file/d/16JXMJhGQqDPsLykgEyo6CoxZUE2q-tOG/view?usp=sharing,https://www.bhphotovideo.com/c/product/3599-REG/Avenger_D600_D600_Mini_Boom_3_8.html,,138.29,https://www.bhphotovideo.com/c/product/3599-REG/Avenger_D600_D600_Mini_Boom_3_8.html   https://www.amazon.com/Avenger-D600-Mini-Boom-Chrome/dp/B0000BZL0A   https://www.adorama.com/aed600.html ,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
Avenger 4041B Boom Stand,boldc#Avenger4041BBoomStand,audio,EQUIPMENT,,,,,,,,BDSB31335,,,https://drive.google.com/file/d/1lYk3W6sn3k_TER-L5EW26NqqvPMQb48K/view?usp=sharing,https://www.bhphotovideo.com/c/product/200109-REG/Avenger_A4041B_A475B_Baby_Combi_Boom.html,,277.94,https://www.bhphotovideo.com/c/product/200109-REG/Avenger_A4041B_A475B_Baby_Combi_Boom.html   https://www.amazon.com/Avenger-Combi-Boom-Aluminum-Stand-Black/dp/B0034ZSY7Y,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
Avenger 4041B Boom Stand,boldc#Avenger4041BBoomStand002,,EQUIPMENT,,,,,,,,BDSB31334,,,,,,,,,,,,,,,,,,ER - Bold-C,,,,,,
Kupo Grip Master Combo HD Stand,boldc#KupoGripMasterComboHDStand,audio,EQUIPMENT,,,KS200112,,,,,BDSB31338,SKU:6954016560376,,https://drive.google.com/file/d/1vtra7C1qCk378PzOzwYh1IYl8Wv5kOod/view?usp=sharing,https://kupogrip.com/kupo-master-combo-hd-stand-silver/,,171.95,https://kupogrip.com/kupo-master-combo-hd-stand-silver/   https://www.bhphotovideo.com/c/product/840733-REG/Kupo_KS200112_Master_Combo_HD_Stand.html   https://www.ebay.com/i/392000549426?chn=ps,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
Kupo Grip Master Combo HD Stand,boldc#KupoGripMasterComboHDStand002,,EQUIPMENT,,,,,,,,BDSB31339,,,,,,,,,,,,,,,,,,ER - Bold-C,,,,,,
Backstage Magliner Junior Cart,boldc#BackstageMaglinerJuniorCart,accessory,EQUIPMENT,,,,,,,,,,,https://drive.google.com/file/d/1UGwyT1bk_Gnn_8TbXWAlmEBy2aJaKlCW/view?usp=sharing,https://backstageweb.com/product/magliner-jr-with-24-shelves,,935.84,https://backstageweb.com/product/magliner-jr-with-24-shelves   https://www.bhphotovideo.com/c/product/1468812-REG/backstage_equipment_mag_01_jr_8x_24_magliner_junior_modified_with.html   https://www.ebay.com/itm/Filmtools-Backstage-Magliner-24-x-48-Collapsible-Converted-Senior-Cart-/264952275562,2020-12-29,,,,,,,,,,ER - Bold-C,,,,,,
